gene_id,strand,lost_len,ctrl_len,lost_at_frac,ctrl_at_frac,lost_are_pent,ctrl_are_pent,lost_are_nona,ctrl_are_nona,lost_miR-34a-5p,ctrl_miR-34a-5p,lost_let-7a-5p,ctrl_let-7a-5p,lost_miR-21-5p,ctrl_miR-21-5p,lost_miR-221-3p,ctrl_miR-221-3p,lost_miR-17-5p,ctrl_miR-17-5p,lost_miR-155-5p,ctrl_miR-155-5p,symbol,lost_seed_total,ctrl_seed_total
ENSG00000047188,+,24497,24497,0.6611421806751847,0.6346083193860472,107,81,4,7,0,1,0,2,3,4,1,0,5,5,4,2,YTHDC2,13,14
ENSG00000047634,+,681,681,0.7092511013215859,0.7077826725403817,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,SCML1,0,1
ENSG00000048707,+,48962,48962,0.5447489890118867,0.5752420244271067,69,97,0,6,5,2,2,5,4,3,4,2,14,13,2,3,VPS13D,31,28
ENSG00000048828,+,35084,35084,0.5570060426405199,0.5789818720784403,55,85,3,1,4,3,3,1,2,3,1,1,1,7,3,3,FAM120A,14,18
ENSG00000049239,+,36659,36659,0.47475381216072454,0.5052783763877902,36,46,5,2,7,3,1,2,1,0,0,1,1,19,0,1,H6PD,10,26
ENSG00000049860,+,24378,24378,0.5972188038395274,0.5669456066945606,50,59,9,8,1,3,1,2,2,1,1,0,6,9,1,1,HEXB,12,16
ENSG00000050327,+,9723,9723,0.5331687750694231,0.5059138126092769,14,9,0,0,2,1,0,2,0,0,2,0,0,0,0,1,ARHGEF5,4,4
ENSG00000050344,+,18261,18261,0.5862220031761678,0.5721482941788512,53,35,0,1,2,1,1,1,2,1,0,3,5,2,0,2,NFE2L3,10,10
ENSG00000052795,+,8309,8309,0.6358165844265254,0.5608376459261042,33,14,0,2,1,0,0,0,1,0,1,0,2,1,1,0,FNIP2,6,1
ENSG00000054282,+,47680,47680,0.6201342281879194,0.6158137583892618,109,144,7,11,2,4,5,6,2,2,3,1,10,16,4,5,SDCCAG8,26,34
ENSG00000055044,+,33986,33986,0.5876537397752015,0.5523450832695815,86,60,6,20,2,1,4,1,4,2,0,0,14,23,5,3,NOP58,29,30
ENSG00000055208,+,39114,39114,0.6361660786419185,0.6359104157079306,105,130,1,8,1,1,1,5,2,5,3,1,7,6,3,5,TAB2,17,23
ENSG00000055211,+,18533,18533,0.5898127664166621,0.5757297793125775,56,28,10,1,1,0,2,2,1,1,1,2,6,7,2,2,GINM1,13,14
ENSG00000057657,+,3596,3596,0.6056729699666296,0.6145717463848721,10,8,2,0,1,0,0,0,1,1,0,0,0,1,0,0,PRDM1,2,2
ENSG00000057757,+,3682,3682,0.5784899511135253,0.5062466051059207,11,2,2,0,0,0,0,1,0,1,0,0,2,0,0,0,PITHD1,2,2
ENSG00000058262,+,949,949,0.4794520547945205,0.5194942044257113,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,SEC61A1,1,1
ENSG00000058600,+,26220,26220,0.4940884820747521,0.5138443935926773,37,45,7,12,2,5,2,4,2,0,3,1,2,8,2,1,POLR3E,13,19
ENSG00000058673,+,40248,40248,0.5918058040151063,0.5642267938779567,106,65,13,3,1,1,2,1,2,2,2,1,15,13,5,1,ZC3H11A,27,19
ENSG00000059728,+,9249,9249,0.5732511622878149,0.6144448048437668,18,27,2,0,0,0,1,1,0,1,1,1,1,3,0,0,MXD1,3,6
ENSG00000060339,+,3116,3116,0.5603337612323491,0.6444159178433889,8,9,1,1,0,0,0,0,0,0,0,0,2,1,0,0,CCAR1,2,1
ENSG00000060749,+,46322,46322,0.6278873969172315,0.5922887612797375,142,140,11,12,4,2,2,6,3,5,1,3,6,14,4,2,QSER1,20,32
ENSG00000063046,+,25448,25448,0.5755658597925181,0.5386277900031436,59,51,11,14,3,1,0,0,1,2,1,0,10,16,4,1,EIF4B,19,20
ENSG00000063244,+,6536,6536,0.47460220318237456,0.4115667074663403,7,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,U2AF2,0,4
ENSG00000063245,+,1103,1103,0.37352674524025387,0.39981867633726204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,EPN1,0,1
ENSG00000063761,+,33488,33488,0.517409221213569,0.5169314381270903,55,41,9,0,4,5,2,5,1,0,0,2,3,3,1,1,ADCK1,11,16
ENSG00000063978,+,10915,10915,0.5267063673843335,0.5573980760421439,15,18,0,1,1,0,1,0,0,0,0,0,1,5,0,1,RNF4,3,6
ENSG00000064651,+,40875,40875,0.6424954128440367,0.6125504587155963,120,122,4,4,1,1,0,2,4,1,2,3,3,5,6,6,SLC12A2,16,18
ENSG00000064703,+,2435,2435,0.6587268993839835,0.602053388090349,11,6,0,0,0,1,0,0,1,0,0,0,1,0,1,0,DDX20,3,1
ENSG00000065060,+,49845,49845,0.5736784030494533,0.5567258501354198,102,98,7,14,5,1,4,2,1,4,3,6,18,20,2,3,UHRF1BP1,33,36
ENSG00000065135,+,44577,44577,0.61114476075106,0.5357695672656303,110,63,4,4,1,2,4,6,2,2,7,0,9,10,3,3,GNAI3,26,23
ENSG00000065150,+,7543,7543,0.6285297626938884,0.6000265146493438,21,10,0,0,2,1,1,0,0,1,1,0,1,0,1,0,IPO5,6,2
ENSG00000065559,+,32664,32664,0.6169789370560862,0.646399706098457,97,121,5,6,3,0,1,2,3,4,1,2,3,4,3,0,MAP2K4,14,12
ENSG00000065613,+,22856,22856,0.6380819040952047,0.6426758837941897,81,68,0,2,2,3,3,1,3,2,0,2,6,1,1,3,SLK,15,12
ENSG00000065970,+,11767,11767,0.5391348687006033,0.4997025580011898,13,15,0,0,2,5,1,1,0,1,0,0,3,3,1,2,FOXJ2,7,12
ENSG00000065978,+,4715,4715,0.607847295864263,0.616542948038176,15,13,0,0,0,1,0,0,0,0,0,0,1,0,1,0,YBX1,2,1
ENSG00000065989,+,10441,10441,0.44832870414711234,0.48960827506943777,1,7,0,2,2,2,2,0,0,0,1,0,3,4,0,1,PDE4A,8,7
ENSG00000066136,+,7816,7816,0.5740788126919141,0.562691914022518,25,17,3,0,1,1,0,0,0,0,0,0,1,0,0,1,NFYC,2,2
ENSG00000067365,+,458,458,0.5524017467248908,0.5065502183406113,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,METTL22,0,1
ENSG00000067955,+,12809,12809,0.5984854399250527,0.600671402919822,36,43,1,1,0,1,1,0,0,1,0,1,6,3,1,0,CBFB,8,6
ENSG00000068354,+,6486,6486,0.5252852297255628,0.496145544249152,6,2,0,0,0,0,0,0,0,0,0,0,5,5,0,1,TBC1D25,5,6
ENSG00000068971,+,6302,6302,0.46985084100285623,0.4127261186924786,3,2,1,0,2,0,0,0,0,0,0,0,2,2,0,0,PPP2R5B,4,2
ENSG00000069399,+,11235,11235,0.41379617267467733,0.46497552291944816,5,6,0,0,1,0,0,1,0,0,0,1,1,4,0,0,BCL3,2,6
ENSG00000069943,+,34153,34153,0.6000936960149914,0.5379615260738442,83,53,1,0,4,2,3,3,2,0,3,1,15,8,3,3,PIGB,30,17
ENSG00000069956,+,27045,27045,0.57223146607506,0.5464226289517471,56,53,10,5,5,3,4,3,3,4,3,3,7,9,3,3,MAPK6,25,25
ENSG00000070214,+,46504,46504,0.5971099260278686,0.6358592809220712,118,157,4,4,5,2,3,5,3,5,0,2,11,9,3,8,SLC44A1,25,31
ENSG00000070614,+,43299,43299,0.48587727199242475,0.47830203930806714,40,35,3,1,8,3,2,8,2,1,2,3,8,12,2,2,NDST1,24,29
ENSG00000070718,+,5281,5281,0.5930694944139367,0.6281007384964968,12,21,0,3,0,0,0,1,1,0,0,0,0,1,1,0,AP3M2,2,2
ENSG00000070814,+,25525,25525,0.4687952987267385,0.4845837414299706,17,21,0,0,8,4,2,2,1,2,0,0,6,6,1,1,TCOF1,18,15
ENSG00000070831,+,27631,27631,0.5917266837971843,0.5338207086243711,64,42,2,12,2,5,1,3,3,1,0,0,4,12,3,0,CDC42,13,21
ENSG00000071462,+,2967,2967,0.40613414223120997,0.49207954162453654,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BUD23,0,1
ENSG00000072134,+,39940,39940,0.5167000500751127,0.5257636454682023,51,63,4,15,5,3,5,4,2,1,2,3,8,8,2,2,EPN2,24,21
ENSG00000072864,+,3947,3947,0.5036736762097795,0.4459082847732455,8,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,NDE1,1,4
ENSG00000073008,+,4868,4868,0.6236647493837305,0.5129416598192276,25,11,0,4,0,1,2,0,0,0,0,0,0,1,0,1,PVR,2,3
ENSG00000073737,+,706,706,0.6062322946175638,0.5821529745042493,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,DHRS9,2,0
ENSG00000074266,+,27704,27704,0.6346375974588507,0.6114279526422177,90,80,10,4,2,0,2,2,0,1,3,3,2,10,0,2,EED,9,18
ENSG00000074696,+,8181,8181,0.5928370614839261,0.5721794401662389,22,18,0,0,0,2,0,3,1,0,2,1,6,2,1,2,HACD3,10,10
ENSG00000075292,+,16438,16438,0.6273269254167173,0.5921644968974328,61,43,3,6,0,0,3,3,1,0,2,0,5,2,0,1,ZNF638,11,6
ENSG00000075407,+,1561,1561,0.6047405509288918,0.6278026905829597,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZNF37A,0,0
ENSG00000075426,+,14998,14998,0.4820642752366982,0.4705294039205227,9,7,0,0,0,4,1,2,0,0,1,1,2,2,0,0,FOSL2,4,9
ENSG00000077150,+,4598,4598,0.37016093953893,0.3979991300565463,2,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,NFKB2,5,0
ENSG00000077238,+,33873,33873,0.5058010805065982,0.5201783131107371,41,39,4,0,0,7,0,2,2,2,3,1,5,4,0,2,IL4R,10,18
ENSG00000077312,+,3552,3552,0.49521396396396394,0.47353603603603606,1,4,0,0,0,1,0,1,0,0,0,0,3,0,0,0,SNRPA,3,2
ENSG00000077585,+,40959,40959,0.5902976146878586,0.5070192143362875,93,46,2,3,0,6,4,3,3,2,2,0,6,10,3,0,GPR137B,18,21
ENSG00000077713,+,43014,43014,0.5540754173059934,0.5510763937322732,63,96,7,10,4,3,4,2,3,5,4,1,20,14,2,3,SLC25A43,37,28
ENSG00000078699,+,3792,3792,0.5545886075949367,0.5411392405063291,6,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,CBFA2T2,2,0
ENSG00000078967,+,10636,10636,0.545975930801053,0.5274539300488905,13,14,0,1,1,4,0,0,0,0,0,0,1,2,1,0,UBE2D4,3,6
ENSG00000079246,+,37824,37824,0.6074714467005076,0.5641656091370558,72,79,3,10,2,2,3,1,2,2,2,0,9,10,1,2,XRCC5,19,17
ENSG00000079335,+,10451,10451,0.6195579370395178,0.6152521289828724,43,29,4,0,0,0,4,0,1,0,1,0,3,5,1,1,CDC14A,10,6
ENSG00000079459,+,46704,46704,0.5535071942446043,0.5217326139088729,89,60,5,1,1,7,2,4,1,2,2,3,9,13,0,3,FDFT1,15,32
ENSG00000079739,+,42014,42014,0.5863045651449517,0.5868758033036607,76,94,1,3,4,5,3,4,3,2,2,4,6,8,7,3,PGM1,25,26
ENSG00000080371,+,14978,14978,0.6293897716651088,0.5753772199225531,46,31,1,1,1,2,0,1,1,0,0,0,5,3,1,1,RAB21,8,7
ENSG00000081059,+,16599,16599,0.49683715886499186,0.43538767395626243,15,8,0,0,4,6,2,2,3,2,0,0,3,2,1,2,TCF7,13,14
ENSG00000081181,+,7153,7153,0.594855305466238,0.5660562001957221,11,17,0,2,0,0,1,1,1,1,1,1,4,4,1,1,ARG2,8,8
ENSG00000081791,+,5818,5818,0.5199381230663458,0.515984874527329,3,10,0,0,1,0,0,0,0,0,0,0,2,0,1,1,DELE1,4,1
ENSG00000081985,+,16390,16390,0.6040268456375839,0.590726052471019,52,37,9,1,0,0,3,0,0,0,0,1,2,3,0,3,IL12RB2,5,7
ENSG00000082153,+,4617,4617,0.5949750920511154,0.5165692007797271,10,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,BZW1,1,1
ENSG00000082258,+,9020,9020,0.6232815964523282,0.655210643015521,25,42,0,5,0,1,1,0,1,0,0,1,3,2,1,1,CCNT2,6,5
ENSG00000082512,+,13612,13612,0.6057890096973259,0.5552453717308258,31,23,0,3,0,1,3,1,0,1,2,1,3,1,0,0,TRAF5,8,5
ENSG00000083828,+,18380,18380,0.5432535364526659,0.5490750816104462,34,36,1,4,1,0,1,3,0,0,1,0,7,9,2,0,ZNF586,12,12
ENSG00000083844,+,23462,23462,0.5638479243031285,0.5370812377461427,39,34,0,1,1,1,1,3,2,3,0,1,6,7,3,2,ZNF264,13,17
ENSG00000084073,+,188,188,0.6382978723404256,0.5851063829787234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZMPSTE24,0,0
ENSG00000084093,+,889,889,0.6827896512935883,0.6242969628796401,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,REST,1,2
ENSG00000085117,+,1595,1595,0.4351097178683386,0.4526645768025078,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,CD82,1,1
ENSG00000085365,+,9688,9688,0.6617464905037159,0.6181874483897605,43,13,1,0,0,0,0,1,1,1,0,2,1,1,3,0,SCAMP1,5,5
ENSG00000085415,+,17285,17285,0.552733584032398,0.5972230257448655,39,52,0,1,3,2,1,2,0,0,1,1,5,2,1,1,SEH1L,11,8
ENSG00000085788,+,22694,22694,0.5916101172115977,0.5579007667224817,59,49,7,3,2,1,1,0,0,0,2,0,8,11,5,1,DDHD2,18,13
ENSG00000085871,+,26862,26862,0.5674186583277493,0.5792941702032611,36,76,0,4,2,1,2,4,3,2,1,2,6,8,1,1,MGST2,15,18
ENSG00000086544,+,15462,15462,0.495472771957056,0.47716983572629673,9,8,1,4,1,2,1,3,0,1,2,0,12,8,1,0,ITPKC,17,14
ENSG00000087088,+,1359,1359,0.46357615894039733,0.5283296541574687,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,BAX,1,1
ENSG00000087157,+,47673,47673,0.478342038470413,0.4620644809430915,38,42,0,7,5,7,6,2,0,1,1,0,8,18,0,0,PGS1,20,28
ENSG00000087266,+,7766,7766,0.5180272984805563,0.3886170486737059,6,0,0,0,1,4,1,1,0,0,1,0,1,0,0,0,SH3BP2,4,5
ENSG00000087338,+,40818,40818,0.6273702778186094,0.5772208339458083,130,79,5,2,1,2,3,1,7,4,4,2,17,13,3,1,GMCL1,35,23
ENSG00000087365,+,13862,13862,0.537007646804213,0.4407011975183956,17,3,0,0,0,2,0,2,0,1,1,1,3,3,1,0,SF3B2,5,9
ENSG00000087460,+,1764,1764,0.5119047619047619,0.5600907029478458,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNAS,0,0
ENSG00000087589,+,29377,29377,0.5535282704156312,0.5681996119413146,57,49,7,0,1,3,3,2,2,3,1,2,7,9,0,1,CASS4,14,20
ENSG00000088367,+,2934,2934,0.5293115201090661,0.5429447852760736,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EPB41L1,0,0
ENSG00000088930,+,19977,19977,0.6543525053811884,0.6122040346398359,65,54,2,9,0,1,2,0,2,3,2,3,5,3,1,1,XRN2,12,11
ENSG00000089289,+,26612,26612,0.5761310686908162,0.5618517961821734,44,65,2,12,1,4,0,0,1,0,2,1,13,5,2,0,IGBP1,19,10
ENSG00000089818,+,6394,6394,0.5797622771348139,0.5861745386299656,4,15,0,2,2,1,1,1,1,1,1,0,1,1,0,0,NECAP1,6,4
ENSG00000089916,+,39737,39737,0.6116969071646073,0.5664997357626393,93,69,2,1,2,0,2,2,5,3,6,2,5,7,7,5,GPATCH2L,27,19
ENSG00000090006,+,20510,20510,0.4568503169185763,0.41243295953193565,19,6,4,1,3,6,1,2,0,0,1,0,3,2,0,0,LTBP4,8,10
ENSG00000090060,+,2235,2235,0.6630872483221476,0.6961968680089485,12,16,1,1,0,0,1,0,0,0,0,0,0,1,0,0,PAPOLA,1,1
ENSG00000090061,+,9050,9050,0.6139226519337017,0.5498342541436464,25,21,1,0,0,1,0,0,2,0,0,0,3,1,1,0,CCNK,6,2
ENSG00000090273,+,15593,15593,0.5067658564740589,0.5114474443660617,20,27,6,5,1,2,2,2,0,1,0,1,7,9,0,0,NUDC,10,15
ENSG00000090565,+,2201,2201,0.5097682871422081,0.4579736483416629,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,RAB11FIP3,1,2
ENSG00000090661,+,7078,7078,0.5148346990675332,0.4299237072619384,9,2,0,0,1,3,0,1,1,0,0,0,6,2,1,0,CERS4,9,6
ENSG00000090905,+,36971,36971,0.6219739796056368,0.562657217819372,122,88,4,18,5,1,2,1,2,1,3,6,3,27,0,1,TNRC6A,15,37
ENSG00000090989,+,9547,9547,0.6628260186446004,0.6494186655493872,37,28,1,1,0,0,1,2,1,1,1,0,1,3,2,0,EXOC1,6,6
ENSG00000091073,+,29799,29799,0.4367931809792275,0.5182388670760764,7,35,0,12,4,5,1,0,0,0,0,0,5,11,1,1,DTX2,11,17
ENSG00000091409,+,29772,29772,0.5722155045008733,0.5692261185006046,69,52,4,0,3,2,2,3,1,2,0,1,7,2,0,2,ITGA6,13,12
ENSG00000092108,+,1396,1396,0.6396848137535817,0.6568767908309455,3,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,SCFD1,2,0
ENSG00000092203,+,10340,10340,0.5490328820116054,0.5787234042553191,22,19,2,1,1,0,3,0,1,1,4,1,6,4,1,0,TOX4,16,6
ENSG00000092931,+,19125,19125,0.5715032679738562,0.568,35,31,8,5,0,1,0,0,2,0,0,0,8,6,2,2,MFSD11,12,9
ENSG00000093010,+,16728,16728,0.4372907699665232,0.5188307030129125,7,29,0,1,3,1,0,2,0,0,0,0,3,8,0,1,COMT,6,12
ENSG00000095139,+,25987,25987,0.5747489129179975,0.5588178704736984,56,42,12,1,1,0,0,4,1,2,0,1,11,15,1,0,ARCN1,14,22
ENSG00000095319,+,35400,35400,0.5361864406779661,0.5211581920903955,62,60,11,13,3,2,3,5,1,2,1,2,13,12,2,0,NUP188,23,23
ENSG00000095787,+,16041,16041,0.6468424661804127,0.6207842403840159,56,38,0,1,0,1,1,1,1,2,0,1,1,3,3,1,WAC,6,9
ENSG00000095794,+,29040,29040,0.6120867768595041,0.6098484848484849,96,48,20,1,1,3,1,2,4,2,1,0,11,10,1,1,CREM,19,18
ENSG00000096872,+,37182,37182,0.6286644075090098,0.6331558280888602,126,152,8,7,1,2,4,3,2,4,1,1,9,11,10,3,IFT74,27,24
