gene_id	celltype	stage	pas_id	rank	chrom	start	end	strand	n_cells	n_cells_expr	reads
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12692	1	1	97502158	97502737	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12694	1	1	97524770	97525078	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12638	1	1	97346100	97346845	-	392	12	32.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12730	1	1	97645490	97645872	-	662	3	19.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12654	1	1	97390771	97391562	-	392	3	20.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12731	1	1	97646370	97647021	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12655	1	1	97392446	97392881	-	392	7	33.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12670	1	1	97429534	97429824	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12735	1	1	97665486	97666723	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12672	1	1	97432354	97432942	-	392	7	42.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12659	1	1	97400568	97402062	-	392	3	18.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12736	1	1	97671696	97672517	-	662	7	47.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12750	1	1	97714361	97714639	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12753	1	1	97717950	97718705	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12710	1	1	97557226	97557683	-	392	81	267.8
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12690	1	1	97484548	97485981	-	392	14	67.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12677	1	1	97440492	97441735	-	392	87	341.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12711	1	1	97559609	97560022	-	392	1	4.1
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12755	1	1	97719620	97720226	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12692	1	1	97502158	97502737	-	392	2	6.1
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12756	1	1	97730849	97732054	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12694	1	1	97524770	97525078	-	392	12	57.2
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249395	1	6	158783099	158784177	-	392	2	14.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12771	1	1	97808427	97809206	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12758	1	1	97738789	97739235	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12730	1	1	97645490	97645872	-	392	1	5.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12731	1	1	97646370	97647021	-	392	2	13.6
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249399	1	6	158786699	158787570	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12776	1	1	97823152	97824427	-	662	0	0.0
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249395	1	6	158783099	158784177	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12778	1	1	97826430	97828108	-	662	60	180.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12735	1	1	97665486	97666723	-	392	20	104.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12779	1	1	97829840	97830188	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12736	1	1	97671696	97672517	-	392	41	92.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12793	1	1	97882244	97882795	-	662	5	37.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12750	1	1	97714361	97714639	-	392	1	5.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12566	1	1	97086207	97086745	-	662	0	0.0
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249399	1	6	158786699	158787570	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12568	1	1	97089647	97090524	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12753	1	1	97717950	97718705	-	392	13	46.1
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12602	1	1	97202005	97202302	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12755	1	1	97719620	97720226	-	392	77	261.8
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12799	1	1	97899199	97899765	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12756	1	1	97730849	97732054	-	392	11	55.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12585	1	1	97164963	97165320	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12605	1	1	97224607	97225130	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12606	1	1	97225581	97226111	-	662	10	53.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12771	1	1	97808427	97809206	-	392	9	41.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12758	1	1	97738789	97739235	-	392	18	78.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12588	1	1	97170740	97171197	-	662	24	129.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12776	1	1	97823152	97824427	-	392	8	36.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12626	1	1	97285704	97286117	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12778	1	1	97826430	97828108	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12627	1	1	97286483	97287361	-	662	3	20.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12779	1	1	97829840	97830188	-	392	1	5.1
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12793	1	1	97882244	97882795	-	392	7	34.3
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12566	1	1	97086207	97086745	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12643	1	1	97356328	97356878	-	662	10	57.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12568	1	1	97089647	97090524	-	392	6	11.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12602	1	1	97202005	97202302	-	392	2	8.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12799	1	1	97899199	97899765	-	392	1	5.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12585	1	1	97164963	97165320	-	392	1	4.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12605	1	1	97224607	97225130	-	392	5	18.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12649	1	1	97381174	97381542	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12606	1	1	97225581	97226111	-	392	3	12.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12588	1	1	97170740	97171197	-	392	42	148.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12680	1	1	97445823	97446216	-	662	5	26.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12681	1	1	97448699	97449251	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12626	1	1	97285704	97286117	-	392	9	47.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12627	1	1	97286483	97287361	-	392	3	18.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12706	1	1	97547583	97547908	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12643	1	1	97356328	97356878	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12724	1	1	97618415	97618937	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12649	1	1	97381174	97381542	-	392	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12680	1	1	97445823	97446216	-	392	2	14.6
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249401	1	6	158788671	158790603	-	392	1	6.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12681	1	1	97448699	97449251	-	392	12	29.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12746	1	1	97708893	97709759	-	662	15	64.1
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249385	1	6	158770712	158772080	-	392	2	12.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12761	1	1	97763485	97764057	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12748	1	1	97711899	97712915	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12706	1	1	97547583	97547908	-	392	8	27.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12763	1	1	97776011	97776514	-	662	0	0.0
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249421	1	6	158814458	158818266	-	392	28	108.6
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249401	1	6	158788671	158790603	-	662	2	14.4
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	249409	1	6	158797853	158801612	-	392	4	23.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12766	1	1	97792345	97792757	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12800	1	1	97907849	97908610	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12767	1	1	97797542	97797834	-	662	4	38.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12724	1	1	97618415	97618937	-	392	1	6.6
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249385	1	6	158770712	158772080	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12781	1	1	97849598	97849893	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12768	1	1	97800255	97801101	-	662	29	130.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12783	1	1	97854352	97854586	-	662	0	0.0
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249421	1	6	158814458	158818266	-	662	1	7.8
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	249409	1	6	158797853	158801612	-	662	3	15.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12571	1	1	97097421	97097688	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12788	1	1	97873090	97873232	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12746	1	1	97708893	97709759	-	392	3	14.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12761	1	1	97763485	97764057	-	392	9	51.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12748	1	1	97711899	97712915	-	392	3	16.2
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12578	1	1	97130731	97131216	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12591	1	1	97180194	97180488	-	662	5	34.3
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Normal	12763	1	1	97776011	97776514	-	392	1	6.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_ACTIVATED_CD8T	Met	12579	1	1	97133097	97133761	-	662	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12766	1	1	97792345	97792757	-	102	2	13.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12800	1	1	97907849	97908610	-	102	10	36.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12767	1	1	97797542	97797834	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12654	1	1	97390771	97391562	-	132	26	109.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12596	1	1	97187222	97188304	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12781	1	1	97849598	97849893	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12768	1	1	97800255	97801101	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12655	1	1	97392446	97392881	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12617	1	1	97264168	97264734	-	151	30	64.8
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12591	1	1	97180194	97180488	-	1004	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12578	1	1	97130731	97131216	-	1004	30	73.7
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12579	1	1	97133097	97133761	-	1004	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12783	1	1	97854352	97854586	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12670	1	1	97429534	97429824	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12632	1	1	97314551	97314906	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12672	1	1	97432354	97432942	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12659	1	1	97400568	97402062	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12571	1	1	97097421	97097688	-	102	4	16.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12635	1	1	97333155	97333948	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12596	1	1	97187222	97188304	-	1004	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12617	1	1	97264168	97264734	-	1004	2	11.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12788	1	1	97873090	97873232	-	102	1	6.6
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12638	1	1	97346100	97346845	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12632	1	1	97314551	97314906	-	1004	3	13.1
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12710	1	1	97557226	97557683	-	132	1	4.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12690	1	1	97484548	97485981	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12677	1	1	97440492	97441735	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12711	1	1	97559609	97560022	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12692	1	1	97502158	97502737	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12654	1	1	97390771	97391562	-	151	51	112.9
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12635	1	1	97333155	97333948	-	1004	5	31.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12578	1	1	97130731	97131216	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12591	1	1	97180194	97180488	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12655	1	1	97392446	97392881	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12579	1	1	97133097	97133761	-	102	2	13.4
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12694	1	1	97524770	97525078	-	132	30	67.5
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12670	1	1	97429534	97429824	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12638	1	1	97346100	97346845	-	1004	4	18.8
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12730	1	1	97645490	97645872	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12672	1	1	97432354	97432942	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Met	12659	1	1	97400568	97402062	-	151	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12596	1	1	97187222	97188304	-	102	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	12731	1	1	97646370	97647021	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12654	1	1	97390771	97391562	-	1004	46	151.8
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	Normal	12617	1	1	97264168	97264734	-	102	3	12.3
ENSG00000092820	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	IVprimary	249395	1	6	158783099	158784177	-	132	0	0.0
ENSG00000188641	CELL_TYPES_WANSLEEBEN_HOGAN_2013_AE2	StageI	12655	1	1	97392446	97392881	-	1004	16	56.8
